content.text,manuel_intent,manuel_category,manuel_sentiment
"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",Bot Yanıtı,Bot,Nötr
Ne tür bir etkinlik yapmayı düşünüyorsunuz?,Bot Yanıtı,Bot,Nötr
Kına,Mekan Arayışı,Düğün Salonu,Nötr
"Harika, **kına gecesi** için yardımcı olabilirim! Şimdi birkaç detay daha öğrenmem gerekiyor:

1. **Hangi şehir ve ilçede** kına gecesi yapmak istiyorsunuz?
2. Nasıl bir hizmet arıyorsunuz? (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)",Bot Yanıtı,Bot,Nötr
Diyarbakır’da hem düğün hem kına,"Düğün, Kına",,Nötr
"Çok güzel! **Diyarbakır’da hem düğün hem de kına gecesi** için seçenekler sunabilirim. Size en uygun mekan ve hizmetleri önerebilmem için birkaç bilgiye daha ihtiyacım var:

1. **Tahmini düğün ve kına tarihi** nedir? (Yıl-ay veya tam tarih olarak paylaşabilirsiniz.)
2. **Tahmini davetli sayısı** kaç olacak?
3. İkram tercihiniz nedir? (Yemekli, kokteyl, pasta ve meşrubat gibi)
4. Sadece mekan mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?
5. Kişi başı veya toplam **bütçeniz** nedir?

Bu bilgileri paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun önerileri sunabilirim!",Bot Yanıtı,Bot,Nötr
"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",Ürün Arayışı,Düğün Pastası,Nötr
"Teşekkürler, bilgiler için! Şu ana kadar elimde olanlar:

- **Etkinlik türü:** Düğün & Kına gecesi
- **Şehir:** Diyarbakır
- **Tarih:** Yaklaşık 2 ay sonra (Ağustos 2025)
- **Davetli sayısı:** 700 kişi
- **İkram tercihi:** Pasta ve meşrubat (yemeksiz, içecekli)

Şimdi birkaç detay daha rica edeceğim:
1. Sadece **mekan** mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misunuz?
2. **Kişi başı veya toplam bütçeniz** nedir? (Bütçenizi belirtirseniz, en uygun mekanları ve firmaları önerebilirim.)
3. Mekan tercihiniz var mı? (Açık alan, kapalı salon, havuz başı, kır düğünü vb.)

Bu detayları da paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun mekan ve hizmetleri hemen önerebilirim!",Bot Yanıtı,Bot,Nötr
"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda","Mekan Arayışı, Ürün Arayışı",,Nötr
"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",Bot Yanıtı,Bot,Nötr
,,,
,,,
"Kullanıcının belirttiği kriterlere uygun mekan bulunamadığında, şu adımları takip eden bir mesaj oluştur:
1. Uygun mekan bulunamadığını bildir.
2. Kriterlerin genişletilmesi gerektiğini açıkla.
3. Kullanıcıya kriterleri esnetmesini veya yeni bir arama yapmasını öner.

Not: Bir sonraki mesajda Function Call kullanma; kullanıcı yeni bir arama yapmak isterse, uygun function call'u çalıştır.",Bot Yanıtı,Bot,Nötr
